INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
New York University,New York,NY,10012-1091,www.nyu.edu,www.nyu.edu/financial.aid/misc/npc/,40.729452,-73.997264,0.354499646,30,1344,24539,18628,0.356,0.0506,0.1152,0.1962,0.0023,0.0011,0.0365,0.1512,0.0909,0.4582,0.0427,0.2015,0.0034,0.0767,0.0474,0.2848,0.3947,0.0623,0.141,0.0014,0.0683,61958,0,61958,46170,46170,NULL,20500,0.7156,0.4341,0.5659,71.56
Franklin W Olin College of Engineering,Needham,MA,02492-1200,www.olin.edu,https://npc.collegeboard.org/student/app/olin,42.292842,-71.264047,0.120040692,33,1475,334,NULL,0.5599,0.009,0.0359,0.1527,0.003,0,0.0629,0.0689,0.1078,0.4926,0.0059,0.118,0.0029,0.0324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61956,0,61956,46681,46681,NULL,15050,0.8267,0.5,0.5,82.67
Haverford College,Haverford,PA,19041-1392,www.haverford.edu,www.haverford.edu/financialaid/policies/,40.013368,-75.302562,0.246853547,33,1422,1187,1135,0.6436,0.0581,0.0859,0.0826,0.0034,0,0.0581,0.0607,0.0076,0,0,0,0,0,0.0282,0,0.7515,0.0564,0.1022,0.0035,0.0581,61898,0,61898,47214,47214,NULL,12500,0.8777,0.4701,0.5299,87.77
Williams College,Williamstown,MA,1267,www.williams.edu,https://npc.collegeboard.org/student/app/williams,42.711669,-73.205888,0.193160228,33,1452,2019,2020,0.5557,0.0713,0.1204,0.109,0.001,0,0.0713,0.0713,0,0.6119,0.1003,0.1156,0.0044,0.0974,0.0614,0,0.7173,0.0649,0.0906,0.0045,0.0614,61850,0,61850,48310,48310,NULL,12359.5,0.8848,0.4923,0.5077,88.48
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,www.rpi.edu,www.rpi.edu/npc/,42.728983,-73.678768,0.375013439,30,1372,5557,5167,0.6172,0.0288,0.0732,0.104,0.0011,0.0005,0.0657,0.0918,0.0176,0.7362,0.0348,0.1141,0.0072,0.0617,0.0451,0.0732,0.6766,0.0401,0.1142,0.0037,0.0472,61820,0,61820,47908,47908,NULL,26500,0.6148,0.695,0.305,61.48
Webb Institute,Glen Cove,NY,11542-1398,www.webb.edu,www.webb.edu/calc.html,40.884352,-73.644838,0.329896907,32,1420,90,82,0.8444,0,0,0.0889,0,0,0.0444,0.0111,0.0111,0.8539,0,0.0787,0,0.0449,0,0,0.9878,0,0.0122,0,0,61820,0,61820,44000,44000,NULL,PrivacySuppressed,0.8636,0.8667,0.1333,86.36
University of Pennsylvania,Philadelphia,PA,19104-6303,www.upenn.edu,https://npc.collegeboard.org/student/app/upenn,39.951002,-75.193618,0.103663637,33,1452,10678,11686,0.4543,0.0716,0.1034,0.189,0.0008,0.0004,0.0402,0.1084,0.0319,0.3945,0.0771,0.1743,0.0046,0.0615,0.0823,0.1029,0.5281,0.0625,0.1776,0.0021,0.0445,61800,0,61800,47668,47668,NULL,19500,0.8687,0.4924,0.5076,86.87
Duke University,Durham,NC,27708,WWW.DUKE.EDU,https://npc.collegeboard.org/student/app/duke,36.00159,-78.94226,0.114075437,33,1454,6480,6325,0.4775,0.1003,0.0656,0.2148,0.0057,0.0006,0.0181,0.0951,0.0224,0.4659,0.0983,0.2156,0.0041,0.0656,0.0354,0.0723,0.6275,0.0938,0.1211,0.0028,0.0471,61748,0,61748,47243,47243,NULL,7000,0.8713,0.5037,0.4963,87.13
Yale University,New Haven,CT,6520,www.yale.edu,admissions.yale.edu/yale-net-price-calculator,41.311158,-72.926688,0.06304151,33,1493,5473,5351,0.4705,0.0678,0.11,0.1655,0.0064,0,0.0596,0.104,0.0163,0.4167,0.0852,0.1432,0.0131,0.085,0.0514,0.1261,0.5363,0.0759,0.1441,0.0082,0.0579,61620,0,61620,45800,45800,NULL,13206,0.8739,0.5098,0.4902,87.39
Cornell University,Ithaca,NY,14853,www.cornell.edu,https://cornell.studentaidcalculator.com/survey.aspx,42.447199,-76.483489,0.141854683,32,1422,14195,8381,0.4209,0.0597,0.1153,0.1722,0.0032,0.0007,0.0431,0.0966,0.0885,0.4575,0.0537,0.1669,0.004,0.059,0.1014,0.0367,0.5577,0.0424,0.1982,0.0051,0.0585,61608,0,61608,47286,47286,NULL,11500,0.8678,0.4917,0.5083,86.78
